,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2016-09-26,113.050003,-0.9998,0.139,0.761,0.1,111.639999,114.639999,111.550003,156384000.0
2016-10-03,114.059998,-0.9994,0.131,0.758,0.111,112.709999,114.559998,112.279999,126029400.0
2016-10-10,117.629997,-0.9986,0.108,0.797,0.095,115.019997,118.690002,114.720001,208708400.0
2016-10-17,116.599998,-0.9998,0.136,0.773,0.09,117.33000200000001,118.209999,113.800003,115531500.0
2016-10-24,113.720001,-0.9994,0.114,0.796,0.09,117.099998,118.360001,113.309998,210225600.0
2016-10-31,108.839996,-0.9917,0.117,0.767,0.116,113.650002,114.230003,108.110001,156346500.0
2016-11-07,108.43,-0.9999,0.159,0.749,0.092,110.08000200000001,111.720001,105.83000200000001,207019500.0
2016-11-14,110.059998,-0.9998,0.134,0.775,0.091,107.709999,110.540001,104.08000200000001,198341400.0
2016-11-21,111.790001,-0.9994,0.142,0.74,0.118,110.120003,112.41999799999999,110.010002,94132400.0
2016-11-28,109.900002,-0.999,0.129,0.76,0.111,111.43,112.470001,108.849998,155500000.0
2016-12-05,113.949997,-0.9964,0.13,0.748,0.122,110.0,114.699997,108.25,151989600.0
2016-12-12,115.970001,-0.9998,0.138,0.76,0.102,113.290001,116.730003,112.489998,195015600.0
2016-12-19,116.519997,-0.9997,0.135,0.76,0.105,115.800003,117.5,115.589996,113254700.0
2016-12-26,115.82,-0.9998,0.143,0.756,0.101,116.519997,118.019997,115.43,84828600.0
2017-01-02,117.910004,-0.9999,0.153,0.751,0.095,115.800003,118.160004,114.760002,103845500.0
2017-01-09,119.040001,-0.9995,0.121,0.789,0.091,117.949997,119.93,117.940002,138810700.0
2017-01-16,120.0,-0.9983,0.129,0.754,0.118,118.339996,120.5,118.220001,116348000.0
2017-01-23,121.949997,-0.9994,0.123,0.776,0.1,120.0,122.440002,119.5,124539300.0
2017-01-30,129.080002,-0.9997,0.131,0.766,0.102,120.93,130.490005,120.620003,249781200.0
2017-02-06,132.119995,-0.9997,0.14,0.748,0.112,129.130005,132.940002,128.899994,136449200.0
2017-02-13,135.720001,0.578,0.114,0.775,0.111,133.080002,136.270004,132.75,136667500.0
2017-02-20,136.66000400000001,-0.9995,0.127,0.773,0.1,136.229996,137.479996,135.279999,87908900.0
2017-02-27,139.779999,-0.9998,0.147,0.745,0.108,137.139999,140.279999,136.279999,127474000.0
2017-03-06,139.139999,-0.9993,0.111,0.801,0.088,139.369995,139.979996,137.050003,99672200.0
2017-03-13,139.990005,-0.9985,0.122,0.769,0.109,138.850006,141.020004,138.820007,121539600.0
2017-03-20,140.639999,-0.9988,0.117,0.779,0.103,140.399994,142.800003,139.729996,129674000.0
2017-03-27,143.66000400000001,-0.9999,0.126,0.799,0.076,139.389999,144.5,138.619995,127008900.0
2017-04-03,143.33999599999999,-0.9998,0.129,0.789,0.083,143.71000700000002,145.46000700000002,143.050003,105416200.0
2017-04-10,141.050003,-0.9998,0.126,0.796,0.078,143.600006,143.880005,140.059998,87485700.0
2017-04-17,142.270004,-0.9997,0.114,0.804,0.081,141.479996,142.919998,140.449997,89248500.0
2017-04-24,143.649994,-0.9993,0.129,0.76,0.112,143.5,144.899994,143.179993,91153700.0
2017-05-01,148.96000700000002,-0.9999,0.144,0.759,0.097,145.100006,148.979996,144.270004,175351700.0
2017-05-08,156.100006,-0.9965,0.115,0.776,0.109,149.029999,156.419998,149.029999,173470600.0
2017-05-15,153.059998,-0.9997,0.127,0.777,0.097,156.009995,156.649994,149.71000700000002,157354900.0
2017-05-22,153.610001,-0.9995,0.128,0.762,0.11,154.0,154.899994,152.669998,103000000.0
2017-05-29,155.449997,-0.9999,0.134,0.784,0.082,153.419998,155.449997,152.220001,88752900.0
2017-06-05,148.979996,-0.9997,0.139,0.751,0.11,154.33999599999999,155.979996,146.020004,159159700.0
2017-06-12,142.270004,-0.9996,0.135,0.756,0.11,145.740005,147.5,142.199997,220530400.0
2017-06-19,146.279999,-0.9996,0.126,0.773,0.101,143.66000400000001,147.16000400000001,143.66000400000001,133253000.0
2017-06-26,144.020004,-0.9993,0.125,0.775,0.1,147.169998,148.279999,142.279999,127060200.0
2017-07-03,144.179993,-0.9998,0.122,0.801,0.077,144.880005,145.300003,142.41000400000001,79158400.0
2017-07-10,149.03999299999998,-1.0,0.166,0.753,0.081,144.110001,149.330002,143.369995,111088400.0
2017-07-17,150.270004,-0.9997,0.123,0.784,0.093,148.820007,151.740005,148.570007,106081600.0
2017-07-24,149.5,-0.9999,0.133,0.778,0.089,150.580002,153.990005,147.300003,105818100.0
2017-07-31,156.389999,0.9974,0.111,0.766,0.124,149.899994,159.75,148.130005,172808500.0
2017-08-07,157.479996,-0.9987,0.117,0.778,0.106,157.059998,161.830002,154.630005,151269100.0
2017-08-14,157.5,-0.9991,0.123,0.773,0.104,159.320007,162.509995,156.720001,134628500.0
2017-08-21,159.860001,-0.9992,0.107,0.81,0.083,157.5,160.740005,155.110001,112671200.0
2017-08-28,164.050003,-0.9998,0.136,0.771,0.093,160.139999,164.940002,159.929993,126128700.0
2017-09-04,158.630005,-0.9911,0.111,0.784,0.105,163.75,164.25,158.529999,101660200.0
2017-09-11,159.880005,-0.9922,0.116,0.769,0.114,160.5,163.96000700000002,157.91000400000001,220582600.0
2017-09-18,151.889999,-0.9994,0.13,0.764,0.106,160.110001,160.5,150.559998,186188500.0
2017-09-25,154.119995,-0.9957,0.118,0.768,0.114,149.990005,154.720001,149.16000400000001,154856800.0
2017-10-02,155.300003,-0.9999,0.137,0.776,0.087,154.259995,155.490005,152.46000700000002,93784300.0
2017-10-09,156.990005,-0.9999,0.142,0.77,0.088,155.809998,158.0,155.100006,81304800.0
2017-10-16,156.25,-0.9997,0.129,0.778,0.094,157.899994,160.869995,155.020004,126051300.0
2017-10-23,163.050003,-0.9994,0.12,0.782,0.098,156.889999,163.600006,155.270004,122403300.0
2017-10-30,172.5,-0.9999,0.138,0.773,0.09,163.889999,174.259995,163.720001,215177400.0
2017-11-06,174.669998,-0.9998,0.134,0.77,0.095,172.369995,176.240005,171.720001,138425400.0
2017-11-13,170.149994,-0.9998,0.133,0.78,0.087,173.5,174.5,168.380005,116459700.0
2017-11-20,174.970001,-0.9999,0.137,0.776,0.087,170.28999299999998,175.5,169.559998,81009300.0
2017-11-27,171.050003,-0.9998,0.141,0.763,0.096,175.050003,175.080002,167.16000400000001,170098500.0
2017-12-04,169.369995,-0.995,0.102,0.811,0.087,172.479996,172.619995,166.46000700000002,137481100.0
